Row number,Location from,Location to,Line number,Distance,Direction,Track by standard,
1,098306,098206,01,100,Towards end,1520,
2,098206,098136,01,5000,Towards end,1520,
3,098136,098121,01,7000,Towards end,1520,
4,098121,098117,01,11000,Towards end,1520,
5,098117,098102,01,6000,Towards end,1520,
6,098102,098032,01,10000,Towards end,1520,
7,098032,098028,01,7000,Towards end,1520,
8,098028,098013,01,11000,Towards end,1520,
9,098013,098009,01,8000,Towards end,1520,
10,098009,097909,01,7000,Towards end,1520,
11,097909,097815,01,7000,Towards end,1520,
12,097815,097805,01,5000,Towards end,1520,
13,097805,097523,01,5000,Towards end,1520,
14,097523,097519,01,8000,Towards end,1520,
15,097519,097504,01,11000,Towards end,1520,
16,097504,098901,01,19000,Towards end,1520,
17,098901,098598,01,3000,Towards end,1520,
18,098598,098507,01,100,Towards end,1520,
19,098507,098598,01,1000,Towards end,1520,
20,098598,098403,01,2000,Towards end,1520,
21,098403,098136,01,3000,Towards end,1520,
22,098136,098206,01,1000,Towards end,1520,
23,098206,098403,01,5000,Towards end,1520,
24,097504,097716,02,11000,Towards end,1520,
25,097716,097720,02,6000,Towards end,1520,
26,097720,097631,02,5000,Towards end,1520,
27,097631,097627,02,4000,Towards end,1520,
28,097627,097646,02,10000,Towards end,1520,
29,097646,097612,02,7000,Towards end,1520,
30,097612,091809,02,13000,Towards end,1520,
31,091809,091813,03,2000,Towards end,1520,
32,091813,092515,03,12000,Towards end,1520,
33,092515,092411,03,8000,Towards end,1520,
34,092411,092407,03,10000,Towards end,1520,
35,092407,092303,03,11000,Towards end,1520,
36,092303,092214,03,3000,Towards end,1520,
37,092214,092203,03,6000,Towards end,1520,
38,092203,092137,03,9000,Towards end,1520,
39,092137,092125,03,4000,Towards end,1520,
40,092125,092110,03,3000,Towards end,1520,
41,092110,092106,03,9000,Towards end,1520,
42,092106,092021,03,11000,Towards end,1520,
43,092021,092017,03,5000,Towards end,1520,
44,092017,092002,03,4000,Towards end,1520,
45,092002,091936,03,8000,Towards end,1520,
46,091936,091921,03,9000,Towards end,1520,
47,091921,091917,03,6000,Towards end,1520,
48,091917,091902,03,7000,Towards end,1520,
49,091902,114201,03,11000,Towards end,1520,
50,114201,114199,04,9000,Towards end,1520,
51,114199,114220,04,8000,Towards end,1520,
52,114220,114305,04,12000,Towards end,1520,
53,114305,114318,04,11000,Towards end,1520,
54,114318,114324,04,10000,Towards end,1520,
55,114324,114466,04,7000,Towards end,1520,
56,114466,114413,04,6000,Towards end,1520,
57,114413,114428,04,6000,Towards end,1520,
58,114428,114432,04,5000,Towards end,1520,
59,114432,114451,04,7000,Towards end,1520,
60,114451,114521,04,2000,Towards end,1520,
61,114521,114517,04,3000,Towards end,1520,
62,114517,110022,04,2000,Towards end,1520,
63,110022,110003,04,1000,Towards end,1520,
64,110003,110037,05,1000,Towards end,1520,
65,110037,110709,05,8000,Towards end,1520,
66,110709,110639,05,2000,Towards end,1520,
67,110639,110624,05,6000,Towards end,1520,
68,110624,110616,05,6000,Towards end,1520,
69,110616,110605,05,6000,Towards end,1520,
70,110605,110516,05,4000,Towards end,1520,
71,110516,110501,05,9000,Towards end,1520,
72,110501,110520,05,12000,Towards end,1520,
73,110520,110412,05,7000,Towards end,1520,
74,110412,110427,05,8000,Towards end,1520,
75,110427,110431,05,5000,Towards end,1520,
76,110431,110200,05,2000,Towards end,1520,
77,090100,095034,06,2000,Towards end,1520,
78,095034,090064,06,2000,Towards end,1520,
79,090064,095049,06,100,Towards end,1520,
80,095049,090055,06,2000,Towards end,1520,
81,090055,090098,06,2000,Towards end,1520,
82,090098,090007,06,100,Towards end,1520,
83,090007,090011,06,2000,Towards end,1520,
84,090011,090026,06,1000,Towards end,1520,
85,090026,090030,06,2000,Towards end,1520,
86,090030,090045,06,3000,Towards end,1520,
